Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Gabriel Gudmundsson,se SWE,DF,26-260,19.3,845,702,140,8,1,1,58,129,3,2,1,0,612,3,36,Matches
Joe Rodon,wls WAL,DF,28-084,18.3,897,856,40,14,0,1,2,26,0,0,0,0,790,1,7,Matches
Pascal Struijk,nl NED,DF,26-156,18.1,1058,988,68,32,0,3,1,3,0,0,0,0,941,2,10,Matches
Ethan Ampadu,wls WAL,MF,25-122,17.7,988,881,105,33,4,3,14,72,0,0,0,0,792,2,11,Matches
Jayden Bogle,eng ENG,DF,25-171,17.6,627,520,106,12,1,1,38,94,0,0,0,0,461,1,28,Matches
Anton Stach,de GER,MF,27-060,17.0,750,663,86,26,1,5,84,0,59,30,25,0,560,1,18,Matches
Lucas Perri,br BRA,GK,28-035,16.0,632,488,143,59,0,1,0,0,0,0,0,0,357,1,0,Matches
Dominic Calvert-Lewin,eng ENG,FW,28-304,14.6,214,212,0,0,1,0,8,0,0,0,0,0,127,2,7,Matches
Brenden Aaronson,us USA,"FW,MF",25-084,13.8,399,368,27,3,4,0,22,5,0,0,0,0,309,4,15,Matches
Noah Okafor,ch SUI,"FW,MF",25-235,11.5,225,221,0,0,2,6,25,0,0,0,0,0,152,4,7,Matches
Jaka Bijol,si SVN,DF,26-343,10.9,593,559,32,15,0,1,1,0,0,0,0,0,509,2,1,Matches
Sean Longstaff,eng ENG,MF,28-076,9.8,435,368,66,25,1,0,44,2,27,12,13,2,354,1,8,Matches
Ao Tanaka,jp JPN,MF,27-126,7.9,379,359,18,7,1,0,11,1,0,0,0,0,310,2,10,Matches
Ilia Gruev,bg BUL,MF,25-253,7.2,306,285,21,14,0,0,6,0,1,1,0,0,272,0,6,Matches
Lukas Nmecha,de GER,FW,27-031,6.7,120,115,5,0,0,0,4,1,0,0,0,0,77,0,6,Matches
Karl Darlow,wls WAL,GK,35-098,5.0,208,163,44,18,0,0,0,0,0,0,0,0,133,1,0,Matches
James Justin,eng ENG,"DF,FW",27-325,4.9,164,142,22,3,0,0,6,19,0,0,0,0,116,0,4,Matches
Daniel James,wls WAL,FW,28-065,3.9,95,92,2,0,1,0,27,1,1,0,0,0,45,1,3,Matches
Wilfried Gnonto,it ITA,"FW,MF",22-070,3.6,129,129,0,0,0,0,11,0,0,0,0,0,96,0,6,Matches
JoÃ«l Piroe,nl NED,"FW,MF",26-165,2.3,80,72,7,0,0,0,1,2,0,0,0,0,66,1,3,Matches
Sebastiaan Bornauw,be BEL,DF,26-298,1.8,67,57,9,1,0,0,1,8,0,0,0,0,51,1,5,Matches
Jack Harrison,eng ENG,"FW,DF",29-055,3.0,137,126,10,3,0,0,17,3,3,2,1,0,97,1,7,Matches
Sam Byram,eng ENG,DF,32-120,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,27.0,21.0,9349,8367,951,273,17,22,381,366,94,47,40,2,7228,31,198,
Opponent Total,,,26.5,21.0,11160,10174,946,229,26,52,397,427,81,61,13,0,9090,40,170,
