Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Jordan Pickford,eng ENG,GK,31-313,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.38,23.0,25.0,-2.0,-0.1,,23.6,30.2,-6.6,-0.31,,Matches
James Tarkowski,eng ENG,DF,33-056,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.38,23.0,25.0,-2.0,-0.1,,23.6,30.2,-6.6,-0.31,,Matches
James Garner,eng ENG,"MF,DF",24-307,21,1883.0,90.0,99.6,20.9,21,90.0,20,0,,0,1.38,23.0,25.0,-2.0,-0.1,-0.1,23.4,30.1,-6.7,-0.32,-2.17,Matches
Jake O'Brien,ie IRL,DF,24-244,21,1760.0,84.0,93.1,19.6,19,88.0,17,2,42.0,0,1.38,21.0,24.0,-3.0,-0.15,-0.85,21.8,29.4,-7.6,-0.39,-1.06,Matches
Michael Keane,eng ENG,DF,33-003,19,1676.0,88.0,88.7,18.6,19,88.0,17,0,,0,1.21,18.0,25.0,-7.0,-0.38,-2.48,19.2,27.6,-8.4,-0.45,-1.19,Matches
Vitaliy Mykolenko,ua UKR,DF,26-230,18,1615.0,90.0,85.4,17.9,18,90.0,17,0,,0,1.39,21.0,24.0,-3.0,-0.17,-0.49,19.2,25.4,-6.1,-0.34,-0.19,Matches
Jack Grealish,eng ENG,FW,30-126,19,1537.0,81.0,81.3,17.1,17,88.0,10,2,20.0,0,1.47,22.0,23.0,-1.0,-0.06,0.2,20.9,23.9,-3.0,-0.18,0.74,Matches
Iliman Ndiaye,sn SEN,FW,25-314,16,1341.0,84.0,71.0,14.9,16,84.0,7,0,,0,1.5,18.0,19.0,-1.0,-0.07,0.1,19.0,18.5,0.4,0.03,1.18,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-130,15,1257.0,84.0,66.5,14.0,15,84.0,10,0,,0,1.4,16.0,16.0,0.0,0.0,0.28,16.3,17.0,-0.7,-0.05,0.79,Matches
Thierno Barry,fr FRA,FW,23-085,21,1105.0,53.0,58.5,12.3,13,72.0,1,8,21.0,0,1.38,15.0,16.0,-1.0,-0.08,0.03,12.1,17.4,-5.3,-0.43,-0.28,Matches
Idrissa Gana Gueye,sn SEN,MF,36-110,13,1051.0,81.0,55.6,11.7,13,81.0,9,0,,0,1.38,12.0,13.0,-1.0,-0.09,0.02,15.7,15.5,0.2,0.02,0.75,Matches
Tim Iroegbunam,eng ENG,MF,22-198,17,929.0,55.0,49.2,10.3,11,77.0,5,6,15.0,3,1.47,10.0,9.0,1.0,0.1,0.38,11.3,15.1,-3.9,-0.37,-0.12,Matches
Beto,gw GNB,FW,27-348,21,835.0,40.0,44.2,9.3,8,70.0,1,13,21.0,0,1.38,10.0,12.0,-2.0,-0.22,-0.22,12.4,14.5,-2.2,-0.23,0.15,Matches
Carlos Alcaraz,ar ARG,"MF,FW",23-045,15,663.0,44.0,35.1,7.4,6,75.0,0,9,24.0,3,1.33,6.0,8.0,-2.0,-0.27,-0.27,8.1,12.6,-4.5,-0.61,-0.46,Matches
Dwight McNeil,eng ENG,"FW,MF",26-053,12,486.0,41.0,25.7,5.4,5,78.0,2,7,14.0,9,1.5,4.0,3.0,1.0,0.19,0.38,4.6,9.7,-5.1,-0.94,-0.84,Matches
Tyler Dibling,eng ENG,FW,19-308,11,326.0,30.0,17.2,3.6,4,67.0,1,7,8.0,8,1.0,2.0,2.0,0.0,0.0,0.12,3.0,5.7,-2.7,-0.74,-0.52,Matches
Merlin Röhl,de GER,MF,23-193,9,269.0,30.0,14.2,3.0,1,90.0,1,8,22.0,1,1.0,5.0,4.0,1.0,0.33,0.5,3.6,5.0,-1.4,-0.46,-0.17,Matches
Harrison Armstrong,eng ENG,MF,18-360,3,101.0,34.0,5.3,1.1,1,86.0,0,2,8.0,2,1.33,2.0,2.0,0.0,0.0,0.1,1.1,1.0,0.1,0.13,0.47,Matches
Nathan Patterson,sct SCO,DF,24-090,3,78.0,26.0,4.1,0.9,1,71.0,0,2,4.0,9,1.67,1.0,0.0,1.0,1.15,1.3,0.4,1.0,-0.6,-0.73,-0.43,Matches
Séamus Coleman,ie IRL,"DF,FW",37-095,3,11.0,4.0,0.6,0.1,1,9.0,0,2,1.0,9,3.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,-0.2,-1.65,-1.35,Matches
Adam Aznou,ma MAR,DF,19-226,0,,,,,0,,0,0,,18,,,,,,,,,,,,Matches
Callum Bates,eng ENG,MF,20-108,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Elijah Campbell,eng ENG,DF,21-165,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
Youssef Chermiti,pt POR,FW,21-235,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Braiden Graham,nir NIR,FW,18-068,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Tom King,wls WAL,GK,30-311,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
Tyler Onyango,eng ENG,MF,22-316,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Mark Travers,ie IRL,GK,26-241,0,,,,,0,,0,0,,21,,,,,,,,,,,,Matches
Harry Tyrer,eng ENG,GK,24-039,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Reece Welch,eng ENG,DF,22-117,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Squad Total,,,28.0,21,1890.0,90.0,100.0,21.0,231,84.0,160,68,18.0,119,1.38,23.0,25.0,-2.0,-0.1,,23.6,30.2,-6.6,-0.31,,
Opponent Total,,,26.4,21,1890.0,90.0,100.0,21.0,231,84.0,152,81,20.0,108,1.38,25.0,23.0,2.0,0.1,,30.2,23.6,6.6,0.31,,
