player_name,team,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
David Raya,Arsenal,1131,228,85,0,2,0,0,0,0,0,0,1010,3,0
William Saliba,Arsenal,2478,46,36,1,10,3,4,0,0,0,0,2385,5,4
Declan Rice,Arsenal,1356,201,70,4,17,157,4,102,88,3,0,1304,5,14
Thomas Partey,Arsenal,1705,93,25,6,2,12,62,0,0,0,0,1574,6,13
Gabriel Magalhães,Arsenal,1560,80,51,1,8,9,3,0,0,0,0,1480,1,8
Leandro Trossard,Arsenal,862,27,5,7,5,82,6,10,9,0,0,665,8,39
Jurriën Timber,Arsenal,1188,204,22,2,1,28,182,0,0,0,0,1194,3,25
Martin Ødegaard,Arsenal,1311,112,34,25,3,84,12,37,31,0,0,1188,12,25
Gabriel Martinelli,Arsenal,630,13,0,5,2,85,10,3,3,0,0,459,5,33
Kai Havertz,Arsenal,503,6,1,1,0,11,5,0,0,0,0,401,2,11
Bukayo Saka,Arsenal,596,75,7,4,2,111,12,56,52,0,2,511,4,20
Mikel Merino,Arsenal,555,5,4,5,1,13,1,0,0,0,0,442,5,12
Myles Lewis-Skelly,Arsenal,605,101,17,3,2,8,84,0,0,0,0,648,5,2
Ben White,Arsenal,483,93,19,1,7,14,70,0,0,0,0,482,2,6
Riccardo Calafiori,Arsenal,461,65,7,0,2,11,58,0,0,0,0,450,1,11
Ethan Nwaneri,Arsenal,351,29,2,2,1,51,4,23,17,0,0,307,3,12
Jorginho,Arsenal,465,8,7,4,1,1,0,0,0,0,0,410,0,5
Jakub Kiwior,Arsenal,598,29,9,2,1,1,3,0,0,0,0,572,1,1
Gabriel Jesus,Arsenal,197,3,0,1,0,7,3,0,0,0,0,156,3,12
Raheem Sterling,Arsenal,180,1,0,0,1,14,0,1,0,0,0,141,2,7
Oleksandr Zinchenko,Arsenal,335,42,11,2,3,10,29,1,0,0,0,315,3,3
Kieran Tierney,Arsenal,101,18,4,0,0,10,14,0,0,0,0,97,0,2
Nathan Butler-Oyedeji,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takehiro Tomiyasu,Arsenal,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Reiss Nelson,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,Arsenal,17655,1479,416,76,71,722,566,233,200,3,2,16194,79,265
Opponent Total,Arsenal,12982,1446,445,44,73,496,493,106,62,23,2,11565,37,232
Emiliano Martínez,Aston Villa,1067,258,88,0,2,0,0,0,0,0,0,1043,7,0
Youri Tielemans,Aston Villa,1831,206,98,24,8,118,2,85,63,8,1,1679,7,37
Morgan Rogers,Aston Villa,807,47,2,21,6,23,9,0,0,0,0,633,6,41
Ezri Konsa,Aston Villa,1433,129,79,6,0,5,34,0,0,0,0,1449,1,21
Ollie Watkins,Aston Villa,387,6,0,0,1,7,0,0,0,0,0,292,3,16
Lucas Digne,Aston Villa,1017,258,44,2,4,140,155,57,37,10,0,956,2,41
John McGinn,Aston Villa,749,53,25,9,2,54,3,17,9,3,0,661,1,15
Matty Cash,Aston Villa,687,148,20,0,1,34,128,0,0,0,0,652,0,18
Pau Torres,Aston Villa,1105,110,62,4,9,1,3,0,0,0,0,1080,4,4
Jacob Ramsey,Aston Villa,575,2,0,3,3,12,2,0,0,0,0,492,3,15
Boubacar Kamara,Aston Villa,822,26,24,5,0,1,0,0,0,0,0,753,0,7
Amadou Onana,Aston Villa,723,4,4,3,0,1,0,0,0,0,0,638,1,10
Leon Bailey,Aston Villa,366,17,0,5,1,34,1,16,9,0,0,273,3,24
Tyrone Mings,Aston Villa,630,46,20,0,3,1,0,0,0,0,0,596,0,7
Ian Maatsen,Aston Villa,559,89,13,1,1,48,72,4,2,0,0,530,0,24
Diego Carlos,Aston Villa,575,25,17,0,6,0,0,0,0,0,0,534,3,0
Marco Asensio,Aston Villa,215,31,12,1,1,25,0,18,9,0,0,199,2,4
Axel Disasi,Aston Villa,258,20,9,1,0,1,11,0,0,0,0,243,2,5
Lamare Bogarde,Aston Villa,239,31,14,0,0,0,17,0,0,0,0,240,2,1
Andrés García,Aston Villa,176,25,0,0,0,18,25,0,0,0,0,174,0,5
Jáder Durán,Aston Villa,155,7,0,2,0,3,0,0,0,0,0,115,1,4
Marcus Rashford,Aston Villa,134,29,5,3,1,28,1,21,15,0,0,117,1,9
Ross Barkley,Aston Villa,365,13,11,0,2,1,1,0,0,0,0,326,1,7
Jaden Philogene Bidace,Aston Villa,85,1,0,1,0,4,1,0,0,0,0,63,0,9
Donyell Malen,Aston Villa,64,4,0,0,1,7,1,0,0,0,0,48,1,3
Robin Olsen,Aston Villa,57,19,7,0,0,0,0,0,0,0,0,54,0,0
Kosta Nedeljković,Aston Villa,41,12,1,0,0,1,11,0,0,0,0,47,0,0
Emi Buendía,Aston Villa,59,1,1,1,0,0,0,0,0,0,0,49,0,0
Squad Total,Aston Villa,15181,1617,556,92,52,567,477,218,144,21,1,13936,51,327
Opponent Total,Aston Villa,14963,1377,425,61,91,655,448,167,111,28,5,13642,88,262
Milos Kerkez,Bournemouth,1362,294,18,2,3,132,268,7,5,1,0,1250,5,48
Antoine Semenyo,Bournemouth,990,51,4,9,5,57,44,3,0,1,0,768,9,39
Illia Zabarnyi,Bournemouth,1556,31,27,5,5,6,1,0,0,0,0,1300,2,10
Lewis Cook,Bournemouth,1324,225,71,3,2,132,73,77,65,3,0,1192,2,26
Kepa Arrizabalaga,Bournemouth,676,281,95,0,0,0,0,0,0,0,0,698,4,1
Justin Kluivert,Bournemouth,647,85,7,5,6,81,9,32,28,0,0,550,7,17
Ryan Christie,Bournemouth,990,60,21,8,9,48,3,26,17,3,2,837,6,19
Evanilson,Bournemouth,313,3,0,4,3,0,0,0,0,0,0,224,1,11
Dean Huijsen,Bournemouth,1478,52,32,1,15,12,5,0,0,0,0,1281,5,12
Dango Ouattara,Bournemouth,579,30,0,5,5,88,26,3,1,0,0,367,3,22
Tyler Adams,Bournemouth,931,37,33,2,0,3,4,0,0,0,0,817,5,13
Marcus Tavernier,Bournemouth,698,117,28,4,7,99,28,49,36,4,1,594,4,23
Adam Smith,Bournemouth,489,114,8,1,2,30,106,0,0,0,0,455,1,13
Marcos Senesi,Bournemouth,621,28,21,0,2,11,6,0,0,0,0,500,5,1
David Brooks,Bournemouth,322,32,9,3,0,45,9,13,6,3,0,268,0,13
Alex Scott,Bournemouth,317,23,10,2,4,7,1,5,3,0,0,286,2,6
James Hill,Bournemouth,212,33,3,0,0,10,30,0,0,0,0,159,0,5
Julian Araujo,Bournemouth,178,26,1,0,0,7,25,0,0,0,0,160,0,2
Mark Travers,Bournemouth,95,47,8,0,0,0,0,0,0,0,0,100,0,0
Enes Ünal,Bournemouth,96,2,1,1,1,4,0,0,0,0,0,63,1,6
Neto,Bournemouth,42,19,4,0,0,0,0,0,0,0,0,40,1,0
Luis Sinisterra,Bournemouth,92,0,0,0,1,7,0,0,0,0,0,73,1,4
Philip Billing,Bournemouth,91,10,1,1,1,10,1,6,2,2,1,70,1,2
Max Aarons,Bournemouth,51,12,2,0,0,2,10,0,0,0,0,50,0,1
Daniel Jebbison,Bournemouth,34,0,0,0,0,1,0,0,0,0,0,28,0,1
Ben Winterburn,Bournemouth,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Julio Soler,Bournemouth,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Remy Rees-Dottin,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zain Silcott-Duberry,Bournemouth,2,0,0,0,0,0,0,0,0,0,0,1,0,1
Squad Total,Bournemouth,14194,1612,404,56,71,792,649,221,163,17,4,12136,65,296
Opponent Total,Bournemouth,15131,1906,533,65,56,586,776,180,103,41,4,13267,38,357
Nathan Collins,Brentford,1803,78,64,3,5,8,11,0,0,0,0,1619,5,8
Bryan Mbeumo,Brentford,1098,142,37,12,8,192,15,85,68,2,0,831,7,46
Mark Flekken,Brentford,1307,327,127,0,5,0,0,0,0,0,0,1199,7,0
Keane Lewis-Potter,Brentford,1046,142,8,5,7,74,128,5,2,0,0,923,8,27
Mikkel Damsgaard,Brentford,1280,140,31,22,5,135,9,55,48,0,0,1038,8,32
Yoane Wissa,Brentford,513,32,3,4,1,20,2,1,0,0,0,418,3,22
Christian Nørgaard,Brentford,1306,29,18,4,4,16,10,0,0,0,0,1087,6,24
Sepp van den Berg,Brentford,1084,98,17,0,2,7,61,0,0,0,0,1007,1,7
Vitaly Janelt,Brentford,1033,18,12,3,6,30,6,0,0,0,0,872,6,16
Kevin Schade,Brentford,448,57,0,1,4,36,54,0,0,0,0,298,1,19
Ethan Pinnock,Brentford,954,126,15,0,0,9,39,0,0,0,0,924,0,8
Kristoffer Ajer,Brentford,554,71,2,0,3,14,69,0,0,0,0,489,1,16
Yehor Yarmoliuk,Brentford,666,7,3,3,8,16,4,0,0,0,0,582,1,11
Mads Roerslev,Brentford,471,63,2,0,1,31,61,0,0,0,0,422,2,11
Mathias Jensen,Brentford,382,70,15,2,4,31,37,13,10,0,0,344,4,7
Michael Kayode,Brentford,131,45,0,0,0,9,45,0,0,0,0,129,0,1
Fabio Carvalho,Brentford,163,14,4,2,0,10,1,7,3,0,0,126,1,7
Ben Mee,Brentford,108,12,5,0,1,0,4,0,0,0,0,93,0,1
Thiago,Brentford,46,1,0,0,0,1,0,0,0,0,0,34,0,0
Hákon Rafn Valdimarsson,Brentford,50,20,4,0,0,0,0,0,0,0,0,46,0,0
Edmond-Paris Maghoma,Brentford,83,1,1,0,0,3,0,0,0,0,0,76,0,2
Rico Henry,Brentford,24,8,0,0,0,0,8,0,0,0,0,21,0,2
Yunus Emre Konak,Brentford,35,1,0,0,0,0,1,0,0,0,0,26,0,1
Kim Jisoo,Brentford,27,1,1,0,0,0,0,0,0,0,0,25,0,0
Frank Onyeka,Brentford,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Gustavo Nunes,Brentford,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Jayden Meghoma,Brentford,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Ryan Trevitt,Brentford,6,0,0,0,0,0,0,0,0,0,0,4,1,1
Squad Total,Brentford,14629,1503,369,61,64,642,565,166,131,2,0,12643,62,269
Opponent Total,Brentford,16294,1488,342,62,69,755,582,231,127,56,3,14345,55,318
Bart Verbruggen,Brighton,1103,143,61,0,0,0,0,0,0,0,0,959,5,2
Jan Paul van Hecke,Brighton,2011,134,101,3,18,11,7,0,0,0,0,1887,2,6
Carlos Baleba,Brighton,1214,22,9,6,3,9,3,0,0,0,0,1081,2,14
Kaoru Mitoma,Brighton,919,18,0,8,1,72,18,0,0,0,0,709,3,38
Pervis Estupiñán,Brighton,1316,228,19,0,5,116,172,37,23,9,3,1288,3,27
Lewis Dunk,Brighton,1818,131,67,2,10,5,10,0,0,0,0,1778,4,7
Danny Welbeck,Brighton,450,18,2,0,0,3,2,0,0,0,0,398,1,13
João Pedro,Brighton,631,26,5,10,3,22,9,4,0,0,0,482,4,20
Jack Hinshelwood,Brighton,878,118,27,0,8,26,75,8,4,1,1,831,1,11
Yasin Ayari,Brighton,829,85,31,9,1,64,3,34,26,5,1,745,1,13
Joël Veltman,Brighton,729,168,42,2,3,23,126,0,0,0,0,719,3,21
Georginio Rutter,Brighton,344,9,0,12,0,9,0,0,0,0,0,237,2,14
Yankuba Minteh,Brighton,451,44,9,2,4,79,19,16,7,6,0,310,2,32
Matt O'Riley,Brighton,328,65,12,2,2,46,1,35,23,7,0,301,1,13
Simon Adingra,Brighton,337,9,0,2,0,36,8,1,0,0,0,264,1,11
Tariq Lamptey,Brighton,346,66,5,0,1,28,60,1,1,0,0,335,1,6
Igor,Brighton,634,46,12,3,3,2,9,0,0,0,0,628,2,5
Adam Webster,Brighton,486,56,24,0,2,1,0,0,0,0,0,465,1,5
Mats Wieffer,Brighton,570,33,9,0,1,7,24,0,0,0,0,517,1,13
Brajan Gruda,Brighton,172,28,6,1,2,20,10,10,4,5,0,147,0,1
Ferdi Kadioglu,Brighton,157,17,2,1,0,9,15,0,0,0,0,144,1,1
Diego Gómez,Brighton,252,16,2,4,2,9,1,3,2,0,0,213,0,8
James Milner,Brighton,62,11,4,2,0,8,0,6,2,3,0,55,0,1
Julio Enciso,Brighton,134,16,4,0,1,20,0,12,6,3,0,99,0,5
Evan Ferguson,Brighton,52,5,0,0,0,0,0,0,0,0,0,43,1,1
Jason Steele,Brighton,104,8,6,0,0,0,0,0,0,0,0,101,0,0
Solly March,Brighton,81,14,1,0,1,20,6,6,3,2,1,60,0,7
Billy Gilmour,Brighton,65,2,1,1,2,1,0,1,1,0,0,58,0,0
Eiran Cashin,Brighton,28,0,0,0,0,1,0,0,0,0,0,23,0,0
Jakub Moder,Brighton,22,0,0,0,0,1,0,0,0,0,0,18,0,0
Jeremy Sarmiento,Brighton,6,0,0,0,0,0,0,0,0,0,0,6,0,0
Squad Total,Brighton,16529,1536,461,70,73,648,578,174,102,41,6,14901,42,295
Opponent Total,Brighton,15169,1590,441,52,79,531,598,177,127,21,4,13579,86,317
Moisés Caicedo,Chelsea,2026,73,46,12,13,10,27,0,0,0,0,1889,4,18
Cole Palmer,Chelsea,1210,188,42,21,14,138,16,71,49,5,0,1083,8,46
Levi Colwill,Chelsea,2331,181,83,3,7,13,6,0,0,0,0,2252,4,20
Marc Cucurella,Chelsea,1568,259,28,2,1,31,229,2,0,0,0,1612,7,21
Enzo Fernández,Chelsea,1688,133,52,14,25,108,4,74,44,12,1,1468,9,43
Robert Sánchez,Chelsea,1031,146,68,0,6,0,0,0,0,0,0,840,7,1
Nicolas Jackson,Chelsea,385,12,1,1,0,3,4,0,0,0,0,303,2,15
Noni Madueke,Chelsea,597,19,1,1,4,59,17,1,0,0,0,482,5,12
Pedro Neto,Chelsea,762,79,14,0,5,140,13,49,16,12,5,663,1,25
Malo Gusto,Chelsea,1224,153,37,2,3,52,116,0,0,0,0,1194,2,26
Jadon Sancho,Chelsea,767,11,1,7,1,24,9,1,1,0,0,643,1,23
Wesley Fofana,Chelsea,758,44,23,0,0,1,20,0,0,0,0,724,1,4
Tosin Adarabioyo,Chelsea,1044,35,19,2,3,0,4,0,0,0,0,988,2,3
Trevoh Chalobah,Chelsea,654,23,11,1,2,3,10,0,0,0,0,609,0,3
Roméo Lavia,Chelsea,409,3,3,3,3,0,0,0,0,0,0,381,2,1
Reece James,Chelsea,620,100,30,4,2,41,51,19,11,5,1,609,3,7
Christopher Nkunku,Chelsea,327,7,1,2,1,4,0,2,0,0,0,299,0,3
Filip Jørgensen,Chelsea,169,20,2,0,0,0,0,0,0,0,0,158,0,0
Axel Disasi,Chelsea,266,27,10,0,1,0,17,0,0,0,0,266,0,2
João Félix,Chelsea,193,5,2,2,1,0,3,0,0,0,0,171,1,5
Benoît Badiashile,Chelsea,288,15,5,0,1,0,0,0,0,0,0,273,1,0
Kiernan Dewsbury-Hall,Chelsea,147,4,1,0,1,2,0,2,0,0,1,127,1,2
Joshua Acheampong,Chelsea,121,3,2,0,0,0,1,0,0,0,0,104,0,2
Renato Veiga,Chelsea,127,12,5,0,0,0,7,0,0,0,0,118,0,1
Mykhailo Mudryk,Chelsea,40,2,0,1,0,7,0,2,0,0,0,28,0,1
Tyrique George,Chelsea,45,1,0,0,0,3,1,0,0,0,0,38,0,1
Marc Guiu,Chelsea,14,2,0,0,0,0,0,0,0,0,0,11,0,0
Mathis Amougou,Chelsea,7,0,0,0,0,0,0,0,0,0,0,7,0,0
Shumaira Mheuka,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,Chelsea,18818,1557,487,78,94,639,555,223,121,34,8,17340,61,285
Opponent Total,Chelsea,13665,1502,438,53,53,501,539,130,78,31,1,12219,81,279
Dean Henderson,Crystal Palace,796,355,97,0,0,0,0,0,0,0,0,712,1,1
Tyrick Mitchell,Crystal Palace,1088,224,8,0,2,102,216,0,0,0,0,948,4,59
Daniel Muñoz,Crystal Palace,1136,294,27,2,2,73,265,2,0,0,0,1087,6,38
Marc Guéhi,Crystal Palace,1664,95,76,7,14,13,6,0,0,0,0,1474,6,9
Maxence Lacroix,Crystal Palace,1375,44,40,2,7,6,2,0,0,0,0,1160,0,12
Jean-Philippe Mateta,Crystal Palace,425,8,0,7,0,26,0,0,0,0,0,282,1,15
Eberechi Eze,Crystal Palace,823,178,69,10,5,110,3,62,39,10,0,759,17,17
Ismaila Sarr,Crystal Palace,701,2,0,12,1,55,2,0,0,0,0,470,5,25
Jefferson Lerma,Crystal Palace,993,56,12,8,8,11,43,0,0,0,0,799,8,21
Will Hughes,Crystal Palace,818,104,33,1,2,71,1,54,41,2,0,707,7,10
Chris Richards,Crystal Palace,773,33,16,2,5,5,17,0,0,0,0,645,2,13
Adam Wharton,Crystal Palace,678,40,14,5,1,39,0,26,19,1,0,548,7,12
Daichi Kamada,Crystal Palace,669,30,10,3,5,31,2,16,11,1,0,560,1,16
Trevoh Chalobah,Crystal Palace,426,16,11,1,2,7,5,0,0,0,0,349,0,7
Eddie Nketiah,Crystal Palace,217,9,0,2,0,5,1,0,0,0,0,167,0,12
Nathaniel Clyne,Crystal Palace,207,16,1,1,1,7,13,0,0,0,0,171,2,8
Cheick Doucouré,Crystal Palace,201,3,3,0,0,1,0,0,0,0,0,174,0,4
Justin Devenny,Crystal Palace,157,18,6,1,1,17,0,9,4,4,0,127,2,2
Odsonne Édouard,Crystal Palace,28,0,0,0,0,1,0,0,0,0,0,17,0,2
Joachim Andersen,Crystal Palace,81,2,1,0,0,1,0,1,0,0,0,61,0,0
Chadi Riad,Crystal Palace,82,0,0,0,1,0,0,0,0,0,0,70,0,2
Ben Chilwell,Crystal Palace,75,14,1,1,0,4,13,0,0,0,0,62,0,3
Jeffrey Schlupp,Crystal Palace,47,3,0,0,0,4,3,0,0,0,0,39,0,0
Romain Esse,Crystal Palace,22,0,0,0,0,0,0,0,0,0,0,18,0,1
Matheus França,Crystal Palace,6,1,0,0,0,1,0,0,0,0,0,4,1,0
Jordan Ayew,Crystal Palace,8,2,0,0,1,1,0,1,1,0,0,8,0,0
Caleb Kporha,Crystal Palace,6,1,0,0,0,2,1,0,0,0,0,5,0,0
Asher Agbinone,Crystal Palace,3,0,0,0,0,1,0,0,0,0,0,2,0,0
Joel Ward,Crystal Palace,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,Crystal Palace,13507,1548,425,65,58,594,593,171,115,18,0,11425,70,289
Opponent Total,Crystal Palace,18180,1631,445,63,75,664,671,194,124,40,7,16163,46,378
Jordan Pickford,Everton,1094,402,179,0,6,0,0,0,0,0,0,1001,9,0
James Tarkowski,Everton,1204,77,46,2,13,1,3,0,0,0,0,1045,9,12
Vitaliy Mykolenko,Everton,991,249,13,2,3,93,236,0,0,0,0,925,3,22
Idrissa Gana Gueye,Everton,1290,26,7,2,7,7,6,0,0,0,0,1143,7,22
Abdoulaye Doucouré,Everton,851,14,5,0,2,23,0,0,0,0,0,694,5,27
Jarrad Branthwaite,Everton,1083,50,37,1,17,5,3,0,0,0,0,936,6,6
Iliman Ndiaye,Everton,649,25,5,2,2,38,5,10,4,0,2,547,2,21
Jack Harrison,Everton,561,61,22,4,2,126,8,30,26,0,1,395,7,33
Dominic Calvert-Lewin,Everton,282,2,0,0,1,6,1,0,0,0,0,179,0,12
Ashley Young,Everton,703,205,21,3,4,70,167,15,8,6,0,642,6,19
James Garner,Everton,595,102,16,2,2,53,39,21,14,4,2,525,5,22
Jake O'Brien,Everton,541,107,3,0,1,18,100,0,0,0,0,509,2,12
Jesper Lindstrøm,Everton,383,42,11,1,0,71,6,25,12,8,2,297,3,18
Dwight McNeil,Everton,487,93,29,7,5,98,5,42,29,5,4,431,4,16
Orel Mangala,Everton,485,4,3,0,1,6,0,0,0,0,0,437,1,10
Beto,Everton,230,4,0,1,1,4,0,1,0,0,0,132,0,12
Michael Keane,Everton,335,7,3,0,12,1,0,0,0,0,0,285,4,6
Carlos Alcaraz,Everton,239,11,2,1,2,10,5,3,2,1,0,200,1,10
Tim Iroegbunam,Everton,156,0,0,0,0,1,0,0,0,0,0,115,2,5
Armando Broja,Everton,72,0,0,0,0,1,0,0,0,0,0,53,1,1
Nathan Patterson,Everton,134,42,0,1,0,14,42,0,0,0,0,130,0,0
Séamus Coleman,Everton,63,18,0,0,0,3,18,0,0,0,0,60,1,1
Roman Dixon,Everton,16,3,0,0,0,0,3,0,0,0,0,11,0,0
Harrison Armstrong,Everton,13,1,0,0,0,1,0,0,0,0,0,7,1,0
Youssef Chermiti,Everton,11,0,0,0,0,1,0,0,0,0,0,6,0,0
Mason Holgate,Everton,0,2,0,0,0,0,2,0,0,0,0,2,0,0
Squad Total,Everton,12468,1547,402,29,81,651,649,147,95,24,11,10707,79,287
Opponent Total,Everton,18785,1655,473,67,101,686,669,212,139,34,6,16980,50,295
Bernd Leno,Fulham,1110,227,67,0,0,0,0,0,0,0,0,1093,1,1
Alex Iwobi,Fulham,1439,37,7,15,21,124,22,2,0,1,0,1109,6,51
Antonee Robinson,Fulham,1705,276,15,1,4,165,261,0,0,0,0,1523,6,47
Calvin Bassey,Fulham,1988,125,47,0,10,8,8,0,0,0,0,1899,2,17
Raúl Jiménez,Fulham,609,7,3,3,5,23,4,0,0,0,0,440,1,28
Joachim Andersen,Fulham,1765,98,79,0,34,11,8,0,0,0,0,1548,7,7
Saša Lukić,Fulham,1089,81,35,1,3,55,1,39,11,22,0,1027,1,22
Sander Berge,Fulham,1120,40,39,3,7,3,1,0,0,0,0,1060,0,8
Andreas Pereira,Fulham,753,203,50,4,8,171,9,109,53,47,0,662,4,26
Emile Smith Rowe,Fulham,947,30,5,2,2,15,2,1,0,0,0,881,2,18
Kenny Tete,Fulham,735,143,6,1,2,33,137,0,0,0,0,715,4,23
Timothy Castagne,Fulham,813,140,10,0,1,37,130,0,0,0,0,780,0,26
Adama Traoré,Fulham,543,0,0,5,2,94,0,0,0,0,0,392,2,18
Issa Diop,Fulham,733,25,21,0,1,1,2,0,0,0,0,663,0,2
Harry Wilson,Fulham,366,51,16,1,5,41,4,27,14,6,1,306,1,5
Rodrigo Muniz,Fulham,135,6,1,3,2,1,0,0,0,0,0,92,1,4
Ryan Sessegnon,Fulham,212,14,0,0,0,14,13,0,0,0,0,177,0,9
Reiss Nelson,Fulham,261,6,0,2,2,23,1,5,3,1,0,232,1,2
Jorge Cuenca,Fulham,112,10,3,0,0,1,2,0,0,0,0,102,0,0
Tom Cairney,Fulham,530,25,11,0,0,19,1,8,3,3,0,503,0,8
Willian,Fulham,196,11,2,0,4,16,2,7,3,4,0,178,1,1
Joshua King,Fulham,45,0,0,0,0,2,0,0,0,0,0,38,0,2
Harrison Reed,Fulham,46,8,5,0,0,6,0,1,0,1,0,39,1,3
Martial Godo,Fulham,15,2,0,0,0,1,2,0,0,0,0,12,0,2
Carlos Vinícius,Fulham,3,0,0,0,0,0,0,0,0,0,0,1,0,1
Jay Stansfield,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,Fulham,17270,1565,422,41,113,864,610,199,87,85,1,15472,41,331
Opponent Total,Fulham,15493,1538,427,70,87,595,578,161,112,26,3,13931,83,287
Dara O'Shea,Ipswich Town,1375,94,25,0,13,7,62,0,0,0,0,1146,5,12
Liam Delap,Ipswich Town,346,5,0,8,1,5,2,0,0,0,0,216,2,16
Leif Davis,Ipswich Town,905,284,54,3,4,148,153,77,53,13,0,854,5,19
Sam Morsy,Ipswich Town,1279,47,46,2,5,12,0,0,0,0,0,1150,6,22
Omari Hutchinson,Ipswich Town,734,66,1,4,2,70,5,4,4,0,0,628,7,38
Jacob Greaves,Ipswich Town,927,75,28,0,0,1,23,0,0,0,0,861,2,4
Jens Cajuste,Ipswich Town,646,61,23,1,5,9,38,0,0,0,0,583,0,11
Arijanet Muric,Ipswich Town,485,143,49,0,3,0,0,0,0,0,0,454,5,0
Axel Tuanzebe,Ipswich Town,558,139,24,0,1,7,115,0,0,0,0,581,0,13
Cameron Burgess,Ipswich Town,710,60,28,1,1,0,0,0,0,0,0,626,4,7
Ben Johnson,Ipswich Town,333,82,11,2,4,37,58,13,11,1,0,298,1,23
Kalvin Phillips,Ipswich Town,510,40,27,1,6,20,2,11,8,2,1,436,1,9
Sammie Szmodics,Ipswich Town,184,10,1,0,0,13,0,6,6,0,0,144,0,12
Luke Woolfenden,Ipswich Town,547,13,9,0,2,0,1,0,0,0,0,496,2,2
Alex Palmer,Ipswich Town,261,133,42,0,0,0,0,0,0,0,0,271,0,1
Wes Burns,Ipswich Town,244,9,1,0,1,46,8,0,0,0,0,153,0,24
Jack Clarke,Ipswich Town,342,17,2,1,3,13,7,6,5,0,0,276,1,18
Julio Enciso,Ipswich Town,197,34,8,4,0,19,2,12,10,1,0,161,1,10
Conor Chaplin,Ipswich Town,244,30,3,10,0,9,1,0,0,0,0,200,0,5
Nathan Broadhead,Ipswich Town,186,10,0,3,1,9,2,3,3,0,0,149,0,11
Christian Walton,Ipswich Town,159,67,17,0,0,0,0,0,0,0,0,152,0,0
Jaden Philogene Bidace,Ipswich Town,129,1,0,0,1,13,1,0,0,0,0,95,1,5
Jack Taylor,Ipswich Town,384,10,2,2,3,6,0,3,3,0,0,328,0,5
Harry Clarke,Ipswich Town,211,25,2,1,0,5,23,0,0,0,0,190,0,4
George Hirst,Ipswich Town,106,0,0,0,0,3,0,0,0,0,0,60,1,5
Conor Townsend,Ipswich Town,98,28,4,1,0,12,20,4,3,1,0,80,1,3
Chiedozie Ogbene,Ipswich Town,43,0,0,0,0,4,0,0,0,0,0,32,0,5
Massimo Luongo,Ipswich Town,55,1,1,0,0,1,0,0,0,0,0,43,1,1
Ben Godfrey,Ipswich Town,49,8,1,0,0,0,7,0,0,0,0,47,0,3
Ali Al Hamadi,Ipswich Town,30,0,0,0,0,0,0,0,0,0,0,25,0,1
Marcus Harness,Ipswich Town,16,0,0,0,0,0,0,0,0,0,0,10,0,1
George Edmundson,Ipswich Town,2,0,0,0,0,0,0,0,0,0,0,1,0,1
Squad Total,Ipswich Town,12295,1492,409,44,56,469,530,139,106,18,1,10746,46,291
Opponent Total,Ipswich Town,19176,1583,432,82,95,761,646,247,135,31,6,17413,41,279
Jamie Vardy,Leicester City,329,46,0,1,1,11,0,0,0,0,0,255,7,14
James Justin,Leicester City,1193,256,20,1,2,54,236,0,0,0,0,1135,3,37
Wout Faes,Leicester City,1420,49,25,2,7,5,6,0,0,0,0,1292,3,7
Victor Bernth Kristiansen,Leicester City,1048,246,40,1,2,97,189,17,14,2,0,1011,8,24
Mads Hermansen,Leicester City,840,229,86,0,2,0,0,0,0,0,0,654,4,1
Wilfred Ndidi,Leicester City,980,22,13,4,4,30,9,0,0,0,0,805,3,24
