player_name,team,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Bilal El Khannouss,Leicester City,884,124,24,11,6,87,13,35,19,10,1,757,5,24
Boubakary Soumaré,Leicester City,1137,11,8,3,1,9,3,0,0,0,0,998,3,14
Harry Winks,Leicester City,981,61,35,4,2,34,5,16,11,3,0,910,3,11
Conor Coady,Leicester City,911,43,20,2,2,0,1,0,0,0,0,869,4,4
Jordan Ayew,Leicester City,452,46,12,3,2,58,5,26,14,7,3,367,0,11
Stephy Mavididi,Leicester City,588,20,2,6,0,69,11,7,4,2,0,460,5,24
Jannik Vestergaard,Leicester City,890,68,26,0,2,0,0,0,0,0,0,870,1,4
Facundo Buonanotte,Leicester City,501,65,24,7,4,43,10,26,19,1,0,435,4,9
Caleb Okoli,Leicester City,597,51,21,1,3,1,4,0,0,0,0,559,0,8
Luke Thomas,Leicester City,465,92,15,0,0,26,69,8,4,3,0,442,3,12
Oliver Skipp,Leicester City,476,4,3,2,0,5,1,0,0,0,0,408,1,11
Bobby De Cordova-Reid,Leicester City,198,8,1,0,0,15,6,0,0,0,0,145,0,15
Jakub Stolarczyk,Leicester City,227,71,29,0,0,0,0,0,0,0,0,199,0,0
Kasey McAteer,Leicester City,205,7,0,0,0,18,7,0,0,0,0,155,3,10
Abdul Fatawu Issahaku,Leicester City,186,11,1,2,2,30,9,1,0,0,0,123,0,18
Patson Daka,Leicester City,133,8,0,2,0,3,6,0,0,0,0,101,0,11
Ricardo Pereira,Leicester City,176,39,6,0,0,3,33,0,0,0,0,178,1,2
Danny Ward,Leicester City,46,7,0,0,0,0,0,0,0,0,0,41,0,0
Hamza Choudhury,Leicester City,81,3,0,0,0,5,3,0,0,0,0,72,0,1
Woyo Coulibaly,Leicester City,44,13,0,0,0,0,13,0,0,0,0,48,0,0
Jeremy Monga,Leicester City,18,1,1,0,0,2,0,0,0,0,0,11,0,5
Odsonne Édouard,Leicester City,8,0,0,0,0,0,0,0,0,0,0,6,0,1
Jake Evans,Leicester City,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Will Alves,Leicester City,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Michael Golding,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,Leicester City,15016,1601,412,52,42,605,639,136,85,28,4,13308,61,302
Opponent Total,Leicester City,18431,1568,421,59,128,715,638,222,126,48,1,16732,55,349
Virgil van Dijk,Liverpool,2603,220,82,1,22,1,8,0,0,0,0,2587,2,9
Mohamed Salah,Liverpool,1165,25,7,17,3,74,18,0,0,0,0,848,6,56
Ryan Gravenberch,Liverpool,1787,30,14,8,7,6,10,0,0,0,0,1619,6,14
Alexis Mac Allister,Liverpool,1403,116,35,6,3,86,9,71,26,36,0,1273,5,31
Ibrahima Konaté,Liverpool,1737,44,40,1,5,0,4,0,0,0,0,1611,3,9
Andrew Robertson,Liverpool,1512,289,48,4,5,139,184,57,39,11,0,1495,6,34
Trent Alexander-Arnold,Liverpool,1610,295,60,11,31,145,186,49,32,10,1,1411,10,36
Dominik Szoboszlai,Liverpool,1139,110,18,5,12,36,36,14,9,4,0,1056,1,25
Luis Díaz,Liverpool,824,16,2,2,8,31,13,1,0,0,0,711,2,23
Alisson,Liverpool,746,109,38,1,1,0,0,0,0,0,0,712,2,1
Cody Gakpo,Liverpool,574,16,4,3,4,69,11,1,0,0,0,449,2,10
Curtis Jones,Liverpool,949,56,10,2,2,6,27,1,0,0,0,938,2,10
Diogo Jota,Liverpool,291,3,0,1,2,8,1,0,0,0,0,207,2,13
Caoimhín Kelleher,Liverpool,344,38,20,0,0,0,0,0,0,0,0,289,0,1
Darwin Núñez,Liverpool,216,4,0,1,6,2,2,0,0,0,0,155,1,13
Kostas Tsimikas,Liverpool,495,108,10,1,1,61,59,39,31,5,0,507,2,9
Joe Gomez,Liverpool,406,18,12,1,5,2,6,0,0,0,0,377,1,2
Conor Bradley,Liverpool,397,68,13,0,2,6,55,0,0,0,0,391,2,11
Jarell Quansah,Liverpool,300,22,10,0,1,2,12,0,0,0,0,293,0,2
Harvey Elliott,Liverpool,210,16,2,1,3,11,7,5,2,1,0,186,3,4
Wataru Endo,Liverpool,156,3,1,0,0,0,2,0,0,0,0,148,0,2
Federico Chiesa,Liverpool,25,1,0,0,0,2,1,0,0,0,0,22,0,1
Vitezslav Jaros,Liverpool,7,1,0,0,0,0,0,0,0,0,0,6,0,0
Jayden Danns,Liverpool,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Squad Total,Liverpool,18897,1608,426,66,123,687,651,238,139,67,1,17292,58,316
Opponent Total,Liverpool,13486,1571,449,58,71,471,542,136,79,21,4,11988,92,297
Joško Gvardiol,Manchester City,2429,189,36,6,9,22,146,0,0,0,0,2381,7,28
Erling Haaland,Manchester City,344,7,0,1,0,3,1,0,0,0,0,234,2,8
Bernardo Silva,Manchester City,1521,121,52,3,5,56,43,13,3,0,0,1433,1,33
Ederson,Manchester City,745,94,26,1,2,0,0,0,0,0,0,741,0,1
Mateo Kovačić,Manchester City,1763,30,29,15,8,0,0,0,0,0,0,1660,4,14
Rúben Dias,Manchester City,2102,75,40,0,8,3,2,0,0,0,0,2038,3,14
İlkay Gündoğan,Manchester City,1470,101,30,7,3,57,4,43,28,4,1,1408,5,19
Rico Lewis,Manchester City,1185,127,25,3,0,6,102,0,0,0,0,1201,0,22
Manuel Akanji,Manchester City,1584,35,18,4,9,11,10,0,0,0,0,1519,1,5
Sávio,Manchester City,819,32,4,5,6,84,9,18,10,2,0,688,0,33
Phil Foden,Manchester City,847,83,21,7,2,80,5,46,30,8,1,786,4,25
Kevin De Bruyne,Manchester City,982,154,31,14,10,140,17,91,33,18,2,865,5,27
Matheus Nunes,Manchester City,994,114,10,2,8,39,96,7,5,0,0,957,1,22
Jeremy Doku,Manchester City,729,3,0,8,0,56,1,2,0,0,0,582,2,29
Stefan Ortega,Manchester City,388,70,21,0,2,0,0,0,0,0,0,373,1,1
Omar Marmoush,Manchester City,234,24,4,2,0,25,1,14,8,3,0,203,2,3
Kyle Walker,Manchester City,727,99,18,2,7,14,81,0,0,0,0,724,0,8
Nathan Aké,Manchester City,514,26,13,0,0,1,7,0,0,0,0,509,2,3
Nicolás González,Manchester City,540,19,17,1,0,0,2,0,0,0,0,520,1,3
Jack Grealish,Manchester City,417,18,5,0,0,20,4,9,4,0,0,381,0,11
John Stones,Manchester City,389,13,7,0,3,0,0,0,0,0,0,367,1,2
Nico O’Reilly,Manchester City,311,41,5,1,0,8,36,0,0,0,0,305,1,3
Abdukodir Khusanov,Manchester City,385,10,6,0,1,1,3,0,0,0,0,360,0,3
James Mcatee,Manchester City,122,3,1,1,0,8,0,1,1,0,0,100,0,4
Jahmai Simpson-Pusey,Manchester City,110,5,3,0,0,0,1,0,0,0,0,107,0,0
Rodri,Manchester City,60,1,1,0,0,0,0,0,0,0,0,57,0,0
Divin Mubama,Manchester City,3,0,0,0,0,0,0,0,0,0,0,2,0,1
Oscar Bobb,Manchester City,11,0,0,0,0,0,0,0,0,0,0,9,0,0
Vitor Reis,Manchester City,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Squad Total,Manchester City,21727,1494,423,83,83,634,571,244,122,35,4,20512,43,322
Opponent Total,Manchester City,13110,1310,309,63,83,425,491,121,80,18,8,11868,80,263
André Onana,Manchester United,1032,222,82,1,2,0,0,0,0,0,0,920,5,0
Bruno Fernandes,Manchester United,1868,228,95,27,19,181,18,88,43,21,5,1598,15,49
Noussair Mazraoui,Manchester United,1528,190,23,7,5,22,157,0,0,0,0,1475,1,34
Diogo Dalot,Manchester United,1414,241,13,4,8,65,228,0,0,0,0,1336,4,36
Matthijs de Ligt,Manchester United,1350,27,19,0,9,6,1,0,0,0,0,1241,3,11
Alejandro Garnacho,Manchester United,795,24,3,2,9,56,16,2,1,0,0,646,1,54
Manuel Ugarte Ribeiro,Manchester United,872,23,7,2,5,7,2,0,0,0,0,789,3,12
Rasmus Højlund,Manchester United,283,22,0,2,0,7,0,0,0,0,0,233,3,6
Lisandro Martínez,Manchester United,1285,54,15,5,3,9,16,0,0,0,0,1200,3,7
Kobbie Mainoo,Manchester United,784,23,13,2,4,6,6,0,0,0,0,701,5,17
Amad Diallo,Manchester United,778,82,4,3,1,40,47,31,23,1,1,720,4,17
Harry Maguire,Manchester United,953,39,24,0,8,3,1,0,0,0,0,856,4,3
Casemiro,Manchester United,830,17,15,9,8,19,2,0,0,0,0,670,7,21
Joshua Zirkzee,Manchester United,400,9,1,6,2,4,0,0,0,0,0,292,1,15
Leny Yoro,Manchester United,745,20,9,2,1,1,7,0,0,0,0,708,1,5
Marcus Rashford,Manchester United,334,9,1,6,5,27,4,1,1,0,0,253,0,10
Christian Eriksen,Manchester United,631,101,31,8,8,83,5,61,24,19,5,579,1,6
Patrick Dorgu,Manchester United,316,61,6,0,1,31,54,1,0,0,0,304,1,5
Mason Mount,Manchester United,189,10,5,2,1,9,2,3,3,0,0,162,0,5
Victor Lindelöf,Manchester United,238,4,3,0,0,1,1,0,0,0,0,224,0,1
Harry Amass,Manchester United,150,31,2,0,0,9,29,0,0,0,0,149,0,3
Jonny Evans,Manchester United,177,19,5,0,0,0,3,0,0,0,0,174,0,1
Altay Bayındır,Manchester United,106,23,5,0,0,0,0,0,0,0,0,77,0,2
Luke Shaw,Manchester United,236,11,2,1,1,10,2,4,0,1,0,210,0,6
Tyler Fredricson,Manchester United,119,3,3,0,0,0,0,0,0,0,0,110,0,2
Tyrell Malacia,Manchester United,49,6,0,0,0,1,6,0,0,0,0,49,0,2
Chidozie Obi-Martin,Manchester United,21,2,0,0,0,0,0,0,0,0,0,19,0,0
Ayden Heaven,Manchester United,48,1,1,0,0,0,0,0,0,0,0,40,0,2
Toby Collyer,Manchester United,88,4,1,0,0,0,2,0,0,0,0,76,0,2
Antony,Manchester United,62,7,2,0,0,5,5,0,0,0,0,56,0,1
Scott McTominay,Manchester United,8,2,0,0,0,0,1,0,0,0,0,10,0,0
Squad Total,Manchester United,17689,1515,390,89,100,602,615,191,95,42,11,15877,62,335
Opponent Total,Manchester United,15465,1491,422,58,69,576,582,170,112,25,4,13708,51,306
Bruno Guimarães,Newcastle United,1580,77,68,22,13,26,3,4,2,1,0,1369,9,36
Dan Burn,Newcastle United,1859,31,23,0,12,3,4,0,0,0,0,1677,1,16
Alexander Isak,Newcastle United,579,75,0,6,3,15,9,3,0,0,0,493,6,24
Fabian Schär,Newcastle United,1787,68,62,4,29,10,6,0,0,0,0,1558,8,8
Valentino Livramento,Newcastle United,1302,239,16,1,1,45,222,1,0,0,0,1317,5,26
Joelinton,Newcastle United,1014,26,11,7,2,16,14,0,0,0,0,863,3,23
Jacob Murphy,Newcastle United,884,46,5,5,6,113,27,14,1,0,0,644,8,48
Sandro Tonali,Newcastle United,1363,42,24,7,7,34,9,8,5,1,1,1185,6,25
Nick Pope,Newcastle United,483,238,66,0,0,0,0,0,0,0,0,529,0,0
Anthony Gordon,Newcastle United,813,114,24,9,4,122,33,51,34,7,0,689,8,36
Lewis Hall,Newcastle United,1300,287,68,4,2,110,164,55,45,2,0,1300,5,27
Harvey Barnes,Newcastle United,552,12,3,4,1,44,7,2,0,0,0,443,2,17
Kieran Trippier,Newcastle United,973,242,50,3,3,79,132,59,24,8,14,1000,3,16
Joe Willock,Newcastle United,335,4,0,0,2,16,4,0,0,0,0,281,2,6
Martin Dúbravka,Newcastle United,246,86,27,0,1,0,0,0,0,0,0,265,1,0
Sean Longstaff,Newcastle United,344,4,2,2,3,5,0,1,0,0,1,295,1,12
Lloyd Kelly,Newcastle United,159,22,7,0,0,1,15,0,0,0,0,146,0,5
Sven Botman,Newcastle United,168,6,6,0,1,0,0,0,0,0,0,152,0,0
Emil Krafth,Newcastle United,128,15,4,0,0,1,11,0,0,0,0,113,0,3
Callum Wilson,Newcastle United,35,5,0,0,0,2,0,0,0,0,0,29,1,4
Lewis Miley,Newcastle United,169,0,0,1,0,0,0,0,0,0,0,150,1,4
Miguel Almirón,Newcastle United,64,1,0,1,0,0,1,0,0,0,0,54,1,2
William Osula,Newcastle United,16,2,0,0,0,1,0,0,0,0,0,11,0,0
Matt Targett,Newcastle United,15,0,0,0,0,1,0,0,0,0,0,14,0,0
Squad Total,Newcastle United,16168,1642,466,76,90,644,661,198,111,19,16,14577,71,338
Opponent Total,Newcastle United,15473,1577,430,70,71,625,561,189,92,51,1,13730,43,338
Matz Sels,Nottingham Forest,570,360,97,0,0,0,0,0,0,0,0,484,12,0
Nikola Milenković,Nottingham Forest,925,32,32,0,3,0,0,0,0,0,0,787,7,3
Murillo,Nottingham Forest,1182,155,108,8,20,12,2,0,0,0,0,1056,13,6
Ola Aina,Nottingham Forest,1011,258,15,0,4,50,243,0,0,0,0,937,2,44
Chris Wood,Nottingham Forest,448,0,0,1,1,1,0,0,0,0,0,294,4,7
Morgan Gibbs-White,Nottingham Forest,1170,17,6,16,12,40,1,1,0,0,0,937,8,25
Elliot Anderson,Nottingham Forest,1200,78,23,6,4,78,2,46,15,28,0,1000,7,35
Anthony Elanga,Nottingham Forest,649,115,30,3,0,170,6,76,42,31,0,500,4,24
Neco Williams,Nottingham Forest,824,204,19,1,4,52,183,2,0,2,0,785,4,30
Callum Hudson-Odoi,Nottingham Forest,797,20,3,4,6,75,4,4,3,1,0,674,3,16
Nicolás Domínguez,Nottingham Forest,828,46,20,5,0,6,6,0,0,0,0,764,6,9
Ryan Yates,Nottingham Forest,677,54,22,0,0,5,0,1,0,0,0,598,3,18
Álex Moreno,Nottingham Forest,338,86,1,3,1,19,85,0,0,0,0,308,4,10
Morato,Nottingham Forest,286,16,10,1,0,0,3,0,0,0,0,234,2,11
Jota Silva,Nottingham Forest,188,1,0,1,1,21,0,1,0,0,0,115,2,12
Ibrahim Sangaré,Nottingham Forest,250,8,8,0,1,2,0,0,0,0,0,218,0,8
James Ward-Prowse,Nottingham Forest,157,24,15,0,1,19,0,8,3,5,0,145,1,1
Danilo,Nottingham Forest,112,1,0,0,0,3,0,1,1,0,0,89,1,4
Taiwo Awoniyi,Nottingham Forest,96,0,0,1,0,2,0,0,0,0,0,61,0,4
Ramón Sosa,Nottingham Forest,86,10,2,0,1,8,4,4,2,1,0,66,1,2
Willy Boly,Nottingham Forest,69,1,1,0,0,0,0,0,0,0,0,55,0,0
Harry Toffolo,Nottingham Forest,39,28,0,0,0,4,27,1,1,0,0,47,0,3
Eric da Silva Moreira,Nottingham Forest,6,2,0,0,0,0,2,0,0,0,0,7,0,0
Squad Total,Nottingham Forest,11908,1516,412,50,59,567,568,145,67,68,0,10161,84,272
Opponent Total,Nottingham Forest,17961,1635,449,45,85,847,617,229,154,43,1,16154,35,316
Kyle Walker-Peters,Southampton,1500,190,36,5,2,51,144,3,0,0,0,1493,3,33
Mateus Fernandes,Southampton,1111,163,59,8,10,105,10,50,36,13,0,1017,1,35
Taylor Harwood-Bellis,Southampton,2011,79,51,3,9,10,25,0,0,0,0,1835,3,10
Jan Bednarek,Southampton,1606,79,33,0,7,1,1,0,0,0,0,1564,2,4
Aaron Ramsdale,Southampton,867,280,100,0,4,0,0,0,0,0,0,737,7,0
Flynn Downes,Southampton,979,27,27,7,1,3,0,0,0,0,0,906,1,12
Joe Aribo,Southampton,992,13,4,2,1,10,4,0,0,0,0,892,1,15
Tyler Dibling,Southampton,568,32,4,8,2,28,3,11,8,0,0,489,3,16
Ryan Manning,Southampton,634,162,38,1,3,84,92,32,24,5,0,619,7,21
Lesley Ugochukwu,Southampton,671,9,9,2,0,6,0,0,0,0,0,577,0,11
Jack Stephens,Southampton,835,40,18,0,2,1,14,0,0,0,0,805,1,4
Yukinari Sugawara,Southampton,743,118,17,1,7,69,91,10,4,6,0,689,1,21
Kamaldeen Sulemana,Southampton,326,2,0,0,2,25,2,0,0,0,0,262,1,7
Adam Armstrong,Southampton,268,18,0,0,1,14,3,0,0,0,0,231,2,12
Cameron Archer,Southampton,215,19,0,2,0,3,0,0,0,0,0,191,1,7
James Bree,Southampton,508,40,9,0,0,27,27,3,2,0,0,459,1,9
Paul Onuachu,Southampton,255,0,0,0,4,0,0,0,0,0,0,156,2,7
Nathan Wood-Gordon,Southampton,381,9,3,0,0,3,1,0,0,0,0,363,1,1
William Smallbone,Southampton,271,59,12,0,2,34,4,24,15,6,0,257,2,7
Alex McCarthy,Southampton,126,29,6,0,1,0,0,0,0,0,0,117,1,1
Adam Lallana,Southampton,255,4,3,1,0,4,0,0,0,0,0,221,1,3
Ben Brereton,Southampton,163,2,1,1,0,5,1,0,0,0,0,128,1,3
Ryan Fraser,Southampton,97,5,0,0,0,12,3,2,2,0,0,77,1,2
Welington,Southampton,97,21,3,0,0,11,17,1,0,0,0,92,0,7
Ross Stewart,Southampton,70,1,1,0,0,0,0,0,0,0,0,50,0,2
Joe Lumley,Southampton,128,22,7,0,0,0,0,0,0,0,0,106,1,0
Armel Bella Kotchap,Southampton,219,4,4,0,0,0,0,0,0,0,0,202,1,1
Charlie Taylor,Southampton,146,30,7,0,0,9,21,2,1,1,0,154,1,3
Albert Grønbaek,Southampton,18,0,0,0,0,1,0,0,0,0,0,13,0,1
Maxwel Cornet,Southampton,20,2,0,0,0,3,0,2,2,0,0,17,0,0
Samuel Edozie,Southampton,33,0,0,0,0,4,0,0,0,0,0,25,0,2
Jay Robinson,Southampton,9,0,0,0,0,0,0,0,0,0,0,8,0,0
Samuel Amo-Ameyaw,Southampton,8,1,0,0,0,2,0,1,0,0,0,8,0,0
Ronnie Edwards,Southampton,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Carlos Alcaraz,Southampton,11,2,0,0,0,1,1,1,0,0,0,13,0,0
Squad Total,Southampton,16146,1462,452,41,58,526,464,142,94,31,0,14778,47,257
Opponent Total,Southampton,17057,1458,455,69,67,709,543,230,142,40,4,15608,46,272
Pedro Porro,Tottenham,1495,342,52,4,16,194,238,52,4,43,0,1355,7,72
Dejan Kulusevski,Tottenham,800,84,4,11,1,89,6,62,26,0,0,658,9,42
Dominic Solanke,Tottenham,312,38,0,3,1,4,2,0,0,0,0,250,2,15
Brennan Johnson,Tottenham,605,10,0,0,0,52,10,0,0,0,0,438,2,37
Guglielmo Vicario,Tottenham,746,95,32,0,1,0,0,0,0,0,0,737,0,2
Son Heung-min,Tottenham,827,69,15,4,4,76,12,37,24,5,0,709,2,25
Destiny Udogie,Tottenham,920,163,28,0,0,19,135,0,0,0,0,947,1,34
James Maddison,Tottenham,1118,132,48,12,5,98,5,59,37,8,0,1021,6,15
Pape Matar Sarr,Tottenham,975,25,9,1,3,14,11,0,0,0,0,869,3,19
Rodrigo Bentancur,Tottenham,1014,38,31,4,2,4,2,0,0,0,0,926,2,19
Djed Spence,Tottenham,948,176,30,2,2,25,146,0,0,0,0,962,4,19
Cristian Romero,Tottenham,1120,101,80,4,2,3,7,0,0,0,0,1094,2,7
Archie Gray,Tottenham,1012,84,29,0,2,16,43,4,0,4,0,962,4,17
Yves Bissouma,Tottenham,783,42,41,2,2,2,1,0,0,0,0,737,3,9
Radu Drăgușin,Tottenham,793,47,40,1,3,1,3,0,0,0,0,716,0,5
Ben Davies,Tottenham,879,89,24,1,5,4,5,0,0,0,0,848,3,6
Lucas Bergvall,Tottenham,675,44,21,0,8,21,10,8,5,2,0,629,1,11
Micky van de Ven,Tottenham,735,40,17,0,1,0,4,0,0,0,0,706,1,5
Mathys Tel,Tottenham,213,18,2,2,1,31,5,7,5,2,0,162,1,9
Wilson Odobert,Tottenham,245,3,0,0,1,25,2,1,0,0,0,194,4,13
Kevin Danso,Tottenham,464,19,15,0,2,1,0,0,0,0,0,416,0,8
Fraser Forster,Tottenham,125,72,16,0,1,0,0,0,0,0,0,168,1,0
Antonín Kinský,Tottenham,150,30,7,0,0,0,0,0,0,0,0,143,1,1
Timo Werner,Tottenham,222,12,2,2,2,28,8,2,1,0,0,158,2,15
Richarlison,Tottenham,91,4,1,0,3,7,0,0,0,0,0,60,0,3
Mikey Moore,Tottenham,78,8,0,0,0,15,2,6,3,0,0,60,0,5
Brandon Austin,Tottenham,24,8,2,0,0,0,0,0,0,0,0,22,0,0
Sergio Reguilón,Tottenham,88,16,1,0,0,10,13,2,1,1,0,73,1,4
Dane Scarlett,Tottenham,5,0,0,0,0,0,0,0,0,0,0,3,0,1
Alfie Dorrington,Tottenham,16,0,0,0,0,0,0,0,0,0,0,15,0,0
Will Lankshear,Tottenham,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,Tottenham,17479,1809,547,53,68,739,670,240,106,65,0,16038,62,418
Opponent Total,Tottenham,13638,1586,465,59,97,635,571,186,116,38,2,12054,84,330
Max Kilman,West Ham,1795,36,24,0,12,3,1,0,0,0,0,1588,4,9
Aaron Wan-Bissaka,West Ham,1448,228,11,5,1,70,217,0,0,0,0,1355,4,58
Jarrod Bowen,West Ham,649,83,5,7,4,104,2,44,28,15,0,524,6,40
Mohammed Kudus,West Ham,803,13,4,2,13,76,3,1,0,0,0,682,2,29
Tomáš Souček,West Ham,903,18,15,0,10,13,3,0,0,0,0,679,3,25
Lucas Paquetá,West Ham,1319,80,35,18,12,28,12,4,1,3,0,1088,8,24
Emerson Palmieri,West Ham,887,185,20,1,2,64,140,25,7,15,0,861,5,23
Alphonse Areola,West Ham,686,262,70,0,3,0,0,0,0,0,0,661,5,3
Konstantinos Mavropanos,West Ham,1128,58,39,1,23,2,15,0,0,0,0,1022,4,10
Edson Álvarez,West Ham,890,15,11,3,11,6,3,0,0,0,0,784,7,10
Jean-Clair Todibo,West Ham,913,33,28,0,3,3,5,0,0,0,0,832,3,7
Guido Rodríguez,West Ham,520,14,13,1,5,4,1,0,0,0,0,449,0,13
Carlos Soler,West Ham,585,58,28,4,5,31,4,17,10,4,0,549,2,9
Łukasz Fabiański,West Ham,321,132,38,0,0,0,0,0,0,0,0,304,1,0
Michail Antonio,West Ham,175,11,0,3,6,25,7,0,0,0,0,114,2,14
Vladimír Coufal,West Ham,421,90,9,0,0,23,81,0,0,0,0,399,2,11
James Ward-Prowse,West Ham,614,58,26,0,8,42,1,30,17,11,1,595,5,4
Aaron Cresswell,West Ham,465,97,32,1,5,33,52,13,11,2,0,463,1,9
Crysencio Summerville,West Ham,241,13,2,3,0,21,2,8,6,0,0,194,0,13
Oliver Scarles,West Ham,302,28,3,1,1,13,25,0,0,0,0,260,3,5
Niclas Füllkrug,West Ham,156,7,0,0,1,1,0,0,0,0,0,108,1,6
Danny Ings,West Ham,86,5,0,1,0,3,0,0,0,0,0,63,1,4
Andy Irving,West Ham,120,2,2,1,0,2,0,0,0,0,0,109,2,1
Evan Ferguson,West Ham,35,1,0,1,1,0,0,0,0,0,0,28,1,0
Luis Guilherme,West Ham,53,3,0,0,0,8,1,2,0,2,0,47,0,2
Lewis Orford,West Ham,36,2,2,0,0,1,0,0,0,0,0,33,0,0
Kaelan Casey,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,West Ham,15551,1532,417,53,126,576,575,144,80,52,1,13791,72,329
Opponent Total,West Ham,16967,1636,470,72,77,768,662,197,102,40,7,15163,51,315
Rayan Aït-Nouri,Wolves,1311,297,41,3,4,88,230,26,21,1,0,1355,4,41
João Gomes,Wolves,1462,54,25,5,9,28,17,1,1,0,0,1292,3,24
Nélson Semedo,Wolves,1060,199,11,1,4,62,188,0,0,0,0,1012,4,35
Jørgen Strand Larsen,Wolves,423,12,0,1,2,6,0,0,0,0,0,275,0,18
André,Wolves,1234,32,28,5,15,0,2,0,0,0,0,1176,2,14
José Sá,Wolves,673,211,63,1,0,0,0,0,0,0,0,569,3,1
Matheus Cunha,Wolves,887,170,48,14,13,132,28,66,38,20,2,764,9,32
Toti Gomes,Wolves,1491,88,40,0,3,13,34,0,0,0,0,1354,1,19
Matt Doherty,Wolves,1137,120,54,2,22,20,66,0,0,0,0,1042,4,14
Jean-Ricner Bellegarde,Wolves,521,18,7,5,4,41,2,3,3,0,0,424,1,20
Santiago Bueno,Wolves,807,34,21,1,3,0,4,0,0,0,0,741,1,9
Mario Lemina,Wolves,582,26,9,6,4,10,9,0,0,0,0,493,5,7
Emmanuel Agbadou,Wolves,825,37,27,1,11,2,0,0,0,0,0,740,3,4
Marshall Munetsi,Wolves,178,7,0,1,0,6,1,0,0,0,0,132,0,3
Craig Dawson,Wolves,528,30,20,1,11,0,0,0,0,0,0,484,1,0
Gonçalo Guedes,Wolves,253,25,0,0,4,20,7,1,1,0,0,205,3,8
Sam Johnstone,Wolves,230,47,22,0,0,0,0,0,0,0,0,184,1,2
Pablo Sarabia,Wolves,335,55,20,5,2,40,8,20,18,2,0,279,8,17
Rodrigo Gomes,Wolves,236,31,1,1,0,21,29,1,0,1,0,180,0,8
Hwang Hee-chan,Wolves,181,13,2,1,0,8,6,0,0,0,0,159,1,8
Yerson Mosquera,Wolves,230,9,4,0,1,2,0,0,0,0,0,205,1,3
Tommy Doyle,Wolves,353,35,19,0,6,15,3,12,6,4,0,321,4,8
Carlos Forbs,Wolves,89,2,0,0,0,9,2,0,0,0,0,60,0,9
Daniel Bentley,Wolves,19,15,5,0,0,0,0,0,0,0,0,20,0,0
Pedro Lima,Wolves,31,7,0,0,0,5,7,0,0,0,0,28,0,2
Daniel Podence,Wolves,15,1,1,0,0,1,0,0,0,0,0,11,0,2
Nasser Djiga,Wolves,8,0,0,0,0,0,0,0,0,0,0,8,0,0
Chiquinho,Wolves,3,0,0,0,0,1,0,0,0,0,0,3,0,0
Mateus Mane,Wolves,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Alfie Pond,Wolves,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Boubacar Traoré,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,Wolves,15108,1575,468,54,118,530,643,130,88,28,2,13521,59,308
Opponent Total,Wolves,16809,1662,493,57,73,697,622,214,130,43,0,15246,73,342
